player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
Vignesh Puthur,MI,AR,,83,NO,27,37,29,NO,NO,NO,12,NO,NO,NO,NO,NO,NO,NO,NO,188
Shubham Dubey,RR,BAT,,57,14,NO,NO,5,NO,4,15,19,NO,23,40,11,NO,NO,NO,NO,188
Vijay Shankar,CSK,BAT,,NO,NO,23,88,14,39,14,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,182
Will O'Rourke,LSG,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,23,93,56,NO,NO,NO,172
Lockie Ferguson,PBKS,BOWL,1,NO,37,67,60,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,168
Kyle Jamieson,PBKS,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,41,29,93,165
Abhinav Manohar,SRH,BAT,,18,6,8,NO,NO,4,NO,67,NO,NO,12,NO,26,20,NO,NO,NO,161
Prince Yadav,LSG,BOWL,,6,49,NO,NO,NO,NO,NO,4,4,53,36,NO,NO,NO,NO,NO,NO,152
Harsh Dubey,SRH,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,25,27,99,NO,NO,NO,151
Ramandeep Singh,KKR,BAT,,18,4,37,4,5,4,30,13,NO,NO,4,8,NO,21,NO,NO,NO,148
Mayank Agarwal,RCB,BAT,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,16,60,29,NO,34,139
Rahmanullah Gurbaz,KKR,WK,1,NO,NO,NO,NO,NO,NO,NO,13,5,51,51,18,NO,NO,NO,NO,NO,138
Jonny Bairstow,MI,WK,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,71,65,NO,136
Ishant Sharma,GT,BOWL,,NO,12,31,6,NO,NO,31,29,-2,27,NO,NO,NO,NO,NO,NO,NO,134
Manish Pandey,KKR,BAT,,NO,NO,29,NO,NO,NO,NO,NO,NO,NO,NO,47,NO,57,NO,NO,NO,133
Urvil Patel,CSK,WK,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,54,2,75,NO,NO,NO,131
Dushmantha Chameera,DC,BOWL,1,NO,NO,NO,NO,NO,NO,NO,29,29,33,4,0,31,NO,NO,NO,NO,126
Vyshak Vijaykumar,PBKS,BOWL,,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,-2,NO,NO,50,NO,35,37,124
Akash Madhwal,RR,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,8,-2,23,91,NO,NO,NO,120
Akash Singh,LSG,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,54,NO,37,27,NO,NO,NO,118
Corbin Bosch,MI,AR,,NO,NO,NO,NO,NO,NO,NO,NO,NO,77,4,36,NO,NO,NO,NO,NO,117
Mustafizur Rahman,DC,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4,29,83,NO,NO,NO,116
Xavier Bartlett,PBKS,BOWL,1,NO,NO,NO,NO,NO,47,45,4,NO,NO,NO,20,NO,NO,NO,NO,NO,116
Jake Fraser-McGurk,DC,BAT,1,5,70,10,12,2,15,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,114
Lungi Ngidi,RCB,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,91,NO,23,NO,NO,NO,NO,114
Shaik Rasheed,CSK,BAT,,NO,NO,NO,NO,NO,NO,47,24,2,18,21,NO,NO,NO,NO,NO,NO,112
Jacob Bethell,RCB,AR,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,27,83,NO,NO,NO,NO,NO,NO,110
Yudhvir Singh,RR,BOWL,,NO,NO,NO,2,NO,NO,NO,NO,NO,-2,NO,31,NO,79,NO,NO,NO,110
Gerald Coetzee,GT,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,29,48,NO,NO,14,6,NO,NO,97
Rahul Tripathi,CSK,BAT,,6,10,32,NO,NO,21,22,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,91
Akash Deep,LSG,BOWL,,NO,NO,NO,25,56,0,4,NO,NO,NO,NO,8,-2,NO,NO,NO,NO,91
Deepak Hooda,CSK,BAT,,7,17,NO,NO,NO,2,NO,NO,45,6,4,NO,NO,4,NO,NO,NO,85
Mohit Sharma,DC,BOWL,,3,29,4,33,-2,4,-2,NO,NO,NO,NO,NO,NO,8,NO,NO,NO,77
